Price,Close,High,Low,Open,Volume
Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS
Date,,,,,
2024-08-08,3553.550048828125,3628.75,3547.449951171875,3621.0,2038088
2024-08-09,3592.050048828125,3605.550048828125,3575.699951171875,3600.0,848232
2024-08-12,3571.949951171875,3611.0,3563.0,3579.0,1965035
2024-08-13,3551.800048828125,3607.0,3545.199951171875,3580.0,1316218
2024-08-14,3545.199951171875,3578.699951171875,3536.5,3558.949951171875,1584372
2024-08-16,3568.35009765625,3580.89990234375,3533.0,3578.0,2808865
2024-08-19,3555.050048828125,3599.89990234375,3547.0,3599.85009765625,1898535
2024-08-20,3572.699951171875,3580.0,3548.0,3562.0,1285569
2024-08-21,3596.050048828125,3615.300048828125,3581.89990234375,3590.0,1714248
2024-08-22,3606.5,3612.14990234375,3583.949951171875,3607.050048828125,1734927
2024-08-23,3598.550048828125,3622.0,3587.050048828125,3606.5,1825180
2024-08-26,3641.89990234375,3648.0,3594.699951171875,3611.0,1606911
2024-08-27,3702.699951171875,3737.0,3636.0,3642.64990234375,3315435
2024-08-28,3689.050048828125,3724.39990234375,3685.0,3705.0,1278175
2024-08-29,3683.449951171875,3710.0,3651.550048828125,3690.5,2165489
2024-08-30,3704.64990234375,3745.0,3666.39990234375,3718.35009765625,2592912
2024-09-02,3683.10009765625,3721.949951171875,3666.35009765625,3706.0,1277813
2024-09-03,3690.14990234375,3713.949951171875,3666.89990234375,3693.949951171875,1211993
2024-09-04,3650.800048828125,3681.0,3631.10009765625,3650.0,1930121
2024-09-05,3624.14990234375,3668.0,3608.39990234375,3668.0,2958770
2024-09-06,3574.75,3623.800048828125,3536.199951171875,3615.10009765625,3096557
2024-09-09,3578.300048828125,3594.0,3553.85009765625,3584.0,1454589
2024-09-10,3596.14990234375,3625.0,3571.0,3585.0,1203483
2024-09-11,3536.949951171875,3603.949951171875,3516.39990234375,3595.0,1865165
2024-09-12,3622.0,3638.050048828125,3534.0,3558.0,3751523
2024-09-13,3613.0,3634.75,3600.050048828125,3622.0,1752455
2024-09-16,3662.25,3670.0,3613.0,3619.14990234375,1045964
2024-09-17,3695.199951171875,3705.0,3659.699951171875,3668.0,1289060
2024-09-18,3730.449951171875,3757.949951171875,3684.199951171875,3689.0,2249929
2024-09-19,3683.699951171875,3750.39990234375,3674.0,3750.0,1711564
2024-09-20,3793.89990234375,3809.89990234375,3680.25,3700.0,5401701
2024-09-23,3787.699951171875,3838.800048828125,3749.0,3800.0,1937874
2024-09-24,3791.60009765625,3831.800048828125,3775.0,3787.699951171875,2676546
2024-09-25,3793.85009765625,3813.199951171875,3778.0,3787.550048828125,2113862
2024-09-26,3762.14990234375,3802.949951171875,3736.39990234375,3801.0,2750597
2024-09-27,3705.64990234375,3738.0,3651.0,3738.0,4095425
2024-09-30,3675.550048828125,3715.64990234375,3665.0,3699.0,1837697
2024-10-01,3653.5,3724.0,3639.35009765625,3667.0,1674100
2024-10-03,3497.64990234375,3617.0,3485.39990234375,3582.5,5315877
2024-10-04,3493.949951171875,3553.550048828125,3468.5,3515.0,3445879
2024-10-07,3468.35009765625,3512.949951171875,3429.0,3505.0,2304227
