Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2024-01-01,446.1934509277344,448.00474987500087,441.0456206222098,441.85593397875033,9346277
2024-01-02,448.3860778808594,449.33938089364216,441.9512825445759,448.0524160078856,10519771
2024-01-03,454.9638671875,458.2527742499516,447.4327791332262,448.2907460344094,24036012
2024-01-04,454.1535339355469,458.96773144091554,452.0562848346669,457.58543048266654,11786959
2024-01-05,451.8179626464844,457.0134464738247,449.959010183515,457.0134464738247,9209405
2024-01-08,443.7625732421875,453.29560381667056,442.8569237006114,452.8189522879464,8003177
2024-01-09,442.85687255859375,448.00473174832973,441.99890572447015,445.66912789030147,5696780
2024-01-10,441.665283203125,444.9541903013777,438.56704834832163,442.856911993434,5896123
2024-01-11,441.0456237792969,444.7634996325391,439.5680157775271,442.4279247557901,6534775
2024-01-12,444.906494140625,445.85979708149415,438.8530146476066,441.61758735762766,9354326
2024-01-15,445.7644958496094,448.529068775956,444.33454132641293,448.05241726822385,6902156
2024-01-16,450.2449645996094,452.8188941613145,442.5708876092427,445.9551013917653,12066347
2024-01-17,444.8111877441406,454.725533173019,443.4765693562626,449.3870305290079,11108698
2024-01-18,443.7625732421875,446.0028412456911,433.32389312612827,443.5242474778254,9143784
2024-01-19,449.48236083984375,450.91231532819955,444.6205097609343,446.6701053757446,12203322
2024-01-23,437.85205078125,451.62729059578845,435.08747793436123,451.62729059578845,8404513
2024-01-24,441.9512939453125,445.5738338503356,436.7081272397528,438.6147333145018,21626183
2024-01-25,434.37249755859375,443.2382327391162,430.9882836123851,441.90358529145817,19677700
2024-01-29,428.7956848144531,435.8978039182455,426.6030995153961,434.61083902858184,17869152
2024-01-30,417.5943908691406,432.5136069275745,416.97474970298373,426.1264648333408,43514448
2024-01-31,420.9309387207031,421.8365882307407,418.2140483755895,419.45333067011507,19882944
2024-02-01,422.2178955078125,426.84142090507186,418.7859988679654,421.3599286209755,19165409
2024-02-02,419.5486755371094,426.317132968884,418.9766878921355,424.2198546348129,17156021
2024-02-05,417.5943908691406,422.93289378622393,416.164436289163,421.35994956674864,12041897
2024-02-06,411.2549133300781,420.3112919390524,409.4436434267831,419.45332504722836,18764371
2024-02-07,411.6361999511719,414.68678101170514,410.6828970063174,414.68678101170514,12880824
2024-02-08,400.9958801269531,415.07017169638107,395.2404387699193,414.97343538790636,48183882
2024-02-09,401.9148254394531,410.33038232876737,395.24043352022613,396.691389568744,32283965
2024-02-12,393.5476379394531,404.33307162550864,392.7737770283046,403.89777301800166,10906914
2024-02-13,393.4508972167969,397.3684665612606,390.11368664945735,393.59598691107794,15606705
2024-02-14,398.0939636230469,398.7710882551627,391.17774567976284,392.72543803904443,12150077
2024-02-15,390.694091796875,400.99587381199336,389.968613774405,399.49656437346596,20383983
2024-02-16,391.3712158203125,396.15935304934135,386.34122306439144,391.75813152774265,37518847
2024-02-19,395.869140625,399.2547044421961,391.37118317182285,391.75809884697617,16949793
2024-02-20,392.8221435546875,397.0299216792301,391.0809787170626,397.0299216792301,14084218
2024-02-21,390.1620788574219,396.69138093362346,388.17908792241377,393.692732594672,19414653
2024-02-22,400.899169921875,401.57626503587414,390.258825515424,393.5960067310359,18604659
2024-02-23,397.9488830566406,402.30175131216487,397.0783153094912,402.30175131216487,11147636
2024-02-26,395.82080078125,399.5448974917922,393.98289960177095,397.65867244095426,7982145
2024-02-27,397.70703125,399.25472354443616,395.19203496151306,396.5946375607967,7783743
2024-02-28,394.9502258300781,398.86782488515695,393.49926977703626,397.70704823481293,8617768
