Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2024-01-01,1525.2884521484375,1530.8435603630564,1509.458944153746,1513.1459469484546,2808451
2024-01-02,1508.623291015625,1523.1255024262236,1497.4147781926608,1520.0283959854587,5396313
2024-01-03,1464.9691162109375,1494.4159306396773,1463.0027147126677,1494.4159306396773,7550363
2024-01-04,1487.2877197265625,1494.2193329902636,1467.820416977219,1479.6679139488526,7056038
2024-01-05,1506.804443359375,1513.8342331071135,1480.9462141517288,1481.4378145547666,8895403
2024-01-08,1497.21826171875,1510.1964645783678,1487.8286458484472,1503.264850766298,4440136
2024-01-09,1503.6090087890625,1526.910819390062,1500.216894068403,1515.99731467845,4412074
2024-01-10,1494.366943359375,1509.6556440273632,1479.7172272057046,1499.332035465463,4096845
2024-01-11,1469.0986328125,1499.381266397429,1461.6263305052,1499.2829703183131,11296088
2024-01-12,1585.6571044921875,1590.818908738713,1529.2705621078778,1535.759663442441,26754401
2024-01-15,1624.345947265625,1636.9800529940492,1608.5164390757118,1617.3160378464245,13228305
2024-01-16,1604.1412353515625,1620.806440094457,1597.7012224164346,1617.168645318958,6500917
2024-01-17,1612.6458740234375,1619.823287737195,1593.0310664377482,1593.0310664377482,9209876
2024-01-18,1615.0054931640625,1621.2980018324668,1600.8965867093475,1615.0547012083518,6375464
2024-01-19,1631.32666015625,1637.5208729793324,1616.5295606649693,1623.854358351323,4522736
2024-01-23,1614.5631103515625,1646.5662222515007,1610.1877950707542,1622.3795081839016,9401255
2024-01-24,1647.2545166015625,1651.7772159269625,1617.3651905951508,1632.0149053831888,8999681
2024-01-25,1641.0604248046875,1652.318145932071,1630.1469199716498,1644.8457238658348,8865304
2024-01-29,1628.7703857421875,1651.1382034542025,1619.9215787352366,1637.1768004066414,4253785
2024-01-30,1623.706787109375,1661.6092230149907,1620.5605928014547,1634.5219950698277,4995943
2024-01-31,1632.9981689453125,1639.2414697775475,1610.5811435729836,1620.5606553071482,6763779
