Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2024-01-01,3698.012451171875,3718.2921859243143,3661.0429064437467,3677.538461548317,825907
2024-01-02,3670.9404296875,3698.01269048407,3655.463764070014,3698.01269048407,1344068
2024-01-03,3582.203857421875,3659.9271265500897,3577.64336897667,3655.2209469515005,1803075
2024-01-04,3557.994140625,3608.645149116668,3542.662930740779,3591.9070128374906,3598144
2024-01-05,3626.984375,3636.542188538303,3565.80546105825,3565.950915316727,1963127
2024-01-08,3569.15283203125,3628.7793617710286,3563.4277622287427,3626.9841625752906,1067805
2024-01-09,3580.4091796875,3641.006284890307,3573.471437021589,3599.864281662435,1370944
2024-01-10,3602.87158203125,3618.590827110067,3578.564850943736,3580.5055043336183,1292227
2024-01-11,3624.7041015625,3661.042790602042,3597.0012257518606,3613.496780334483,1777909
2024-01-12,3767.5849609375,3789.3687503022047,3708.201007927904,3733.81754078814,6813450
2024-01-15,3787.9619140625,3847.345868486892,3769.719722338354,3842.494234352608,2801505
2024-01-16,3746.72265625,3783.303926653488,3741.1432775430862,3783.303926653488,1432672
2024-01-17,3769.331298828125,3793.928939222256,3699.4192107617623,3705.677770772284,3458696
2024-01-18,3786.79736328125,3792.813341901306,3747.402001495147,3782.33376536201,2239110
2024-01-19,3834.89111328125,3854.828792704221,3807.6591608986555,3836.787576761996,2941975
2024-01-23,3752.416748046875,3825.991545051423,3737.3419188899447,3793.021529808284,2618854
2024-01-24,3736.418212890625,3777.1201111922514,3701.211238257574,3773.570326867422,2657709
2024-01-25,3705.7822265625,3755.0914608833264,3675.0489302993396,3734.570146060019,2205154
2024-01-29,3696.7373046875,3715.216128362602,3677.1401208727275,3696.542838242831,1646747
2024-01-30,3696.299560546875,3742.253475636006,3683.1211945510818,3703.0101960268325,1411621
2024-01-31,3711.27734375,3728.8322745343594,3692.312234372478,3706.657637619578,2459358
2024-02-01,3748.42919921875,3797.787108661937,3700.6761721547505,3715.2160408467994,2363107
2024-02-02,3857.503173828125,3875.1065425906513,3765.7898054070656,3768.7561904233226,2826510
2024-02-05,3864.31103515625,3911.67512958968,3853.41830257255,3873.7449132659613,1691523
2024-02-06,4022.548095703125,4036.066718938935,3880.552925980529,3887.3609135699685,4474396
2024-02-07,3971.390869140625,4041.0269520279267,3962.2001333088815,4039.0818127008374,2124267
2024-02-08,4020.700439453125,4043.944760003293,3973.9684184871803,3977.8100212634604,2345173
2024-02-09,4020.311767578125,4069.9612633858887,3987.5359770313985,4023.083211456978,2100596
2024-02-12,4007.66796875,4045.500833365555,3992.933158561447,4016.712676589731,1013716
2024-02-13,4035.677978515625,4055.615657406954,3969.543238778533,4012.287867137159,1257415
2024-02-14,3987.63330078125,4002.0271430317525,3938.42117677672,3994.3439370346928,1391283
2024-02-15,3990.64794921875,4032.565320923148,3971.001852474619,4014.767486410783,1091582
2024-02-16,4015.0595703125,4034.1709461020446,3987.633387876024,4000.422585306404,1307556
2024-02-19,3991.23095703125,4015.058912365614,3943.7697502386195,4009.9529219368214,772291
2024-02-20,3920.087646484375,3985.5903054124697,3900.004178795511,3970.1265434216803,1193648
